product_name,price,link,weight/price
Royal Canin Maxi Puppy, 20.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-maxi-junior-cachorros-razas-grandes.html,4 Kg./20.99 €/u && 10 Kg/56.99 €/u && 15 Kg/59.99 €/u && Pack 2 x 15 Kg/115.98 €/u && 
Royal Canin Giant Adulto Razas Gigantes, 99.98 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-giant-adulto-razas-gigantes.html,15 + 3 Kg ¡Gratis!/51.99 €/u && 15 Kg/54.99 €/u && Pack 2 x 15+3 Kg ¡Gratis!/99.98 €/u && Pack 2 x 15 Kg/105.98 €/u && 
Royal Canin X-Small Puppy, 3.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-x-small-junior-razas-miniaturas.html,"500 Gr./3.99 €/u && 1,5 Kg./10.99 €/u && 3 Kg./19.99 €/u && Pack 2 x 3 Kg/37.98 €/u && "
Royal Canin X-Small Adulto Razas Miniaturas, 3.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-x-small-adulto-razas-miniaturas.html,"500 Gr./3.99 €/u && 1,5 Kg./9.99 €/u && 3 Kg./18.99 €/u && Pack 2 x 3 Kg/35.98 €/u && "
Royal Canin X-Small Ageing +12 Razas Miniaturas, 4.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-x-small-ageing-12-razas-miniaturas.html,"500 Gr./4.99 €/u && 1,5 Kg./10.99 €/u && Pack 2 x 1.5 Kg/19.98 €/u && "
Royal Canin Mini Ageing +12 Razas Pequeñas, 9.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-mini-ageing-12-razas-pequenas.html,"1,5 Kg./9.99 €/u && 3,5 Kg./20.99 €/u && Pack 2 x 3.5 Kg/39.98 €/u && "
Royal Canin Mini Esterilizado Razas Pequeñas, 40.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-mini-esterilizado-razas-pequenas.html,3 Kg./19.99 €/u && 8 Kg/40.99 €/u && Pack 2 x 8 Kg/79.98 €/u && 
Royal Canin Mini Puppy, 12.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-mini-junior-razas-pequenas.html,2 Kg./12.99 €/u && 4 Kg./23.99 €/u && 8 Kg/39.99 €/u && Pack 2 x 8 Kg/77.98 €/u && 
Royal Canin Medium Sterilizado Razas Medianas, 17.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-medium-sterilizado-razas-medianas.html,3 Kg./17.99 €/u && 10 Kg/45.99 €/u && Pack 2 x 10 Kg/89.98 €/u && 
Royal Canin Maxi Esterilizado Razas Grandes, 45.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-maxi-sterilizado-razas-grandes.html,9 Kg/45.99 €/u && Pack 2 x 9 Kg/83.98 €/u && 
Royal Canin Maxi Light Razas Grandes, 17.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-maxi-light-razas-grandes.html,3 Kg./17.99 €/u && 10 Kg/45.99 €/u && Pack 2 x 10 Kg/89.98 €/u && 
Royal Canin Bichon Maltese Adulto, 12.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-bichon-maltese-adulto.html,"1,5 Kg./12.99 €/u && Pack 2 x 1.5 Kg/23.98 €/u && "
Royal Canin Maxi Adulto +5 Años Razas Grandes, 19.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-maxi-adulto-5-anos-razas-grandes.html,4 Kg./19.99 €/u && 15 Kg/67.99 €/u && Pack 2 x 15 Kg/131.98 €/u && 
